station_la,station_lo,Date,Turbidity_,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
20.047791,99.4049339,2025-11-04,360.0,0.0079,0.039,0.0185,0.012,0.053,0.09049999713897705,0.117,0.1175,0.0703,0.0773,0.0612,0.0518,0.0541,0.6605504498057527,0,0,0,0.0,0,0.3131313131313132,0.12771085892244172,0.19314434865898134,,,0,0.0006,0.0054,0.0093,0.0119,0.1671
20.047791,99.4049339,2025-12-09,142.0,0.009,0.0416,0.0154,0.0107,0.0684,0.10899999737739563,0.1268,0.1262,0.0725,0.0691,0.0642,0.0455,0.0633,0.7524115703430346,0,0,0,0.0,0,0.32774869109947646,0.07548771340364195,0.2586604968577355,,,0,0.0006,0.0073,0.0112,0.013,0.0662
20.0396223,99.4767091,2025-03-01,139.0,0.0575,0.0452,0.2635,0.2306,0.0954,0.14100000262260437,0.17,0.1908,0.2033,0.2117,0.2619,0.2039,0.3014,-0.30284300762214644,0,0,0,0.0,0,-0.21278073628154665,0.09324757920528659,-0.3000744517012139,,,0,0.0005,0.0097,0.0144,0.0174,0.2033
20.0396223,99.4767091,2025-04-01,186.0,0.0758,0.0686,0.2708,0.213,0.094,0.13779999315738678,0.1744,0.1944,0.1927,0.2141,0.2531,0.2118,0.3158,-0.3255017353644045,0,0,0,0.0,0,-0.18409356725146198,0.1172325677283483,-0.2949603705830467,,,0,0.0005,0.0095,0.014,0.0181,0.1854
20.0396223,99.4767091,2025-05-13,296.0,0.0241,0.0873,0.2412,0.1896,0.1066,0.15559999644756317,0.166,0.1976,0.2316,0.2419,0.2793,0.2426,0.3627,-0.21572581733565818,0,0,0,0.0,0,-0.25443521221648324,0.03233831986105931,-0.2844332135269438,,,0,0.0005,0.011,0.0159,0.017,0.3897
20.0396223,99.4767091,2025-05-27,770.0,0.0224,0.0651,0.1896,0.1564,0.1068,0.15060000121593475,0.1598,0.1977,0.2262,0.229,0.2644,0.232,0.3336,-0.11463844398786704,0,0,0,0.0,0,-0.24658180103724664,0.029639171224310392,-0.274216863736471,,,0,0.0005,0.0108,0.0155,0.0164,0.4813
20.0396223,99.4767091,2025-06-23,441.0,0.0269,0.1783,0.2765,0.236,0.195,0.2021999955177307,0.1946,0.237,0.3296,0.3743,0.3576,0.3837,0.5356,-0.15521204340499578,0,0,0,0.0028,0,-0.2951829047446577,-0.019153214726765583,-0.27759915278053493,,,0,0.0008,0.0199,0.0206,0.0198,0.4823
20.0396223,99.4767091,2025-07-01,1126.0,0.0157,0.0836,0.2073,0.1615,0.1258,0.18019999563694,0.1992,0.2232,0.2503,0.2518,0.2786,0.2664,0.3006,-0.06993549591791683,0,0,0,0.0039,0,-0.16617831728756807,0.05007908429509234,-0.21447254860247736,,,0,0.0008,0.0128,0.0184,0.0203,0.4609
20.0396223,99.4767091,2025-07-21,1402.0,0.0157,0.0836,0.2073,0.1615,0.1258,0.18019999563694,0.1992,0.2232,0.2503,0.2518,0.2786,0.2664,0.3006,-0.06993549591791683,0,0,0,0.0039,0,-0.16617831728756807,0.05007908429509234,-0.21447254860247736,,,0,0.0008,0.0128,0.0184,0.0203,0.4609
20.0396223,99.4767091,2025-08-18,309.0,0.0291,0.0714,0.1777,0.1467,0.13,0.1736000031232834,0.208,0.219,0.203,0.2106,0.2214,0.2234,0.2709,-0.011670927527085104,0,0,0,0.0,0,-0.031206334420121152,0.09014674160157964,-0.12101264936394893,,,0,0.0005,0.0131,0.0177,0.0212,0.4836
