River,Amount,Station (New),Location,Lat,Long,Year,Month,Date,Time,Depth(m),Temp(a),Temp(w),pH,tur(NTU),Cond(µS),Sal(ppt),SS(mg/l),TS(mg/l),TDS(mg/l),Cd(mg/L),Cr6+(mg/L),Mn(mg/L),Ni(mg/L),Pb(mg/L),Zn(mg/L),Cu(mg/L),Hg(mg/L),As(mg/L),Cr(mg/L),"Cyanide
(mg/L)"
Kok,2//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Apr,Apr,,,,,8,186,149.5,,231,381,150,<0.001,,0.19,<0.010,0.024,<0.100,0.011,<0.002,0.024,<0.010,
Kok,3//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,May,13-16 May  2025,15:15,1.5,30,29,8.03,296,140.8,0,,,,<0.001,,0.19,<0.010,0.023,<0.10,<0.010,<0.0005,0.018,<0.010,
Kok,4//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,May,27-30 May  2025,12:00,2,31,27.1,7.51,770,128.9,0,,,,<0.001,,0.55,0.013,0.028,<0.10,0.014,<0.0005,0.015,0.02,
Kok,5//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Jun,9-13 Jun  2025,15:55,1.5,27,30,7.85,253,147.6,0,,,,<0.001,,0.26,<0.010,0.018,<0.10,<0.010,<0.0005,0.017,0.011,
Kok,6//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Jun,23-27 Jun  2025,17:00,2,25,27.8,7.67,441,123.6,0,,,,<0.001,,0.36,<0.010,0.026,<0.10,0.012,<0.0005,0.012,0.016,
Kok,7//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Jul,30 Jun-4 Jul 2025,17:02,3,30.5,27.6,7.46,1126,95.5,0,,,,<0.001,,0.7,0.017,0.03,<0.10,0.015,<0.0005,0.012,0.031,
Kok,8//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Jul,21-25 Jul 2025,10:45,5,28,25.5,7.01,1402,73.1,0,,,,<0.001,,0.66,0.023,0.05,<0.10,0.02,<0.0005,0.016,0.048,
Kok,9//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Aug,4-8 Aug 2025,15:25,2.6,37,28.3,6.6,676,101.2,0,,,,<0.001,,0.53,0.017,0.023,<0.10,0.014,<0.0005,<0.010,0.032,
Kok,10//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Aug,18-22 Aug 2025,16:04,3.5,36,30.4,7.61,309,112.7,0,,,,<0.001,,0.26,<0.010,0.013,<0.10,<0.010,<0.0005,<0.010,0.015,
Kok,11//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Sep,1-4 Sep  2025,13:45,2.9,33,28.4,7.36,386,105.6,0,,,,<0.001,,0.34,0.011,0.015,<0.10,<0.010,<0.0005,0.01,0.021,
